Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction,Urbanicity,COVID,Total,Footnote
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,United States,All Counties in the U.S.,0,60156,
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,United States,Metropolitan,0,51066,
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,United States,Nonmetropolitan,0,9090,
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,United States,All Counties in the U.S.,,60723,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,United States,Metropolitan,,51781,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,United States,Nonmetropolitan,0,8942,
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,United States,All Counties in the U.S.,,59334,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,United States,Metropolitan,,50575,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,United States,Nonmetropolitan,,8759,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,United States,All Counties in the U.S.,,59145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,United States,Metropolitan,,50324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,United States,Nonmetropolitan,0,8821,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,United States,All Counties in the U.S.,0,58806,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,United States,Metropolitan,0,50023,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,United States,Nonmetropolitan,0,8783,
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,United States,All Counties in the U.S.,,59447,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,United States,Metropolitan,,50602,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,United States,Nonmetropolitan,0,8845,
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,United States,All Counties in the U.S.,,58791,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,United States,Metropolitan,,49978,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,United States,Nonmetropolitan,0,8813,
11/3/2021,2/16/2020,2/22/2020,2020,8,2/22/2020,United States,All Counties in the U.S.,,58890,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
