Data As Of,Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age,COVID,Pneumonia,Influenza,"Pneumonia, Influenza","Pneumonia, Influenza, COVID",Total,Footnote
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,United States,All Ages,0,4102,432,4534,4534,60014,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,United States,0-17 years,0,19,22,41,41,666,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,United States,18-64 years,0,767,183,950,950,14692,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,United States,65 years and over,0,3316,227,3543,3543,44656,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alabama,All Ages,0,67,,72,72,1097,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alabama,0-17 years,0,0,0,0,0,16,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alabama,18-64 years,0,13,,14,14,297,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alabama,65 years and over,0,54,,58,58,784,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alaska,All Ages,0,,,,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alaska,0-17 years,0,0,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alaska,18-64 years,0,,0,,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Alaska,65 years and over,0,,0,,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arizona,All Ages,0,83,,87,87,1278,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arizona,0-17 years,0,0,0,0,0,13,
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arizona,18-64 years,0,12,,13,13,290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/4/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,By Week,Week-ending,Arizona,65 years and over,0,71,,74,74,975,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
