Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,SVI,COVID,Total,Footnote
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,Low Vulnerability,0,15237,
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,Moderate Vulnerability,0,23884,
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,High Vulnerability,0,21023,
11/3/2021,12/29/2019,1/4/2020,2020,1,1/4/2020,All U.S. Counties,0,60156,
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,Low Vulnerability,0,15349,
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,Moderate Vulnerability,0,23972,
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,High Vulnerability,,21393,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/5/2020,1/11/2020,2020,2,1/11/2020,All U.S. Counties,1,60723,
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,Low Vulnerability,0,15071,
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,Moderate Vulnerability,0,23470,
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,High Vulnerability,,20785,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/12/2020,1/18/2020,2020,3,1/18/2020,All U.S. Counties,2,59334,
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,Low Vulnerability,,14920,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,Moderate Vulnerability,,23454,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,High Vulnerability,0,20765,
11/3/2021,1/19/2020,1/25/2020,2020,4,1/25/2020,All U.S. Counties,2,59145,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,Low Vulnerability,0,15040,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,Moderate Vulnerability,0,23405,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,High Vulnerability,0,20356,
11/3/2021,1/26/2020,2/1/2020,2020,5,2/1/2020,All U.S. Counties,0,58806,
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,Low Vulnerability,0,15009,
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,Moderate Vulnerability,,23605,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,High Vulnerability,0,20824,
11/3/2021,2/2/2020,2/8/2020,2020,6,2/8/2020,All U.S. Counties,2,59447,
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,Low Vulnerability,,14607,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,Moderate Vulnerability,0,23618,
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,High Vulnerability,,20560,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/9/2020,2/15/2020,2020,7,2/15/2020,All U.S. Counties,3,58791,
11/3/2021,2/16/2020,2/22/2020,2020,8,2/22/2020,Low Vulnerability,,14757,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/16/2020,2/22/2020,2020,8,2/22/2020,Moderate Vulnerability,,23447,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/16/2020,2/22/2020,2020,8,2/22/2020,High Vulnerability,,20678,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2021,2/16/2020,2/22/2020,2020,8,2/22/2020,All U.S. Counties,6,58890,
